Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_38.0,C_38.5,C_39.0,C_39.5,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,P_38.0,P_38.5,P_39.0,P_39.5,P_40.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0
WBA,Bear Call Spread,-17.5,-15.0,15.0,35.0,32.68,65.94,-0.5,-7.000000000000006,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-14.08,-22.00000000000003,22.00000000000003,27.99999999999997,26.82,71.8,-0.5028571428571433,-5.000000000000004,0.9999999999999996,-1.0000000000000002,0.9999999999999999,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-105.71,-64.0,64.0,186.0,26.38,72.24,-0.5683333333333332,-50.0,14.000000000000002,-4.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-89.83,-50.0,50.0,150.0,25.97,72.65,-0.5988666666666667,-43.00000000000001,14.000000000000002,-4.0,3.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-87.12,-20.0,20.0,130.0,24.95,73.67,-0.6701538461538462,-36.0,13.0,-4.0,3.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Put Spread,-1.52,28.0,72.0,28.0,26.82,71.8,-0.054285714285714284,-11.000000000000002,4.000000000000001,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Put Spread,-4.27,46.0,104.0,46.0,28.38,70.24,-0.09282608695652173,-17.999999999999996,6.0,-1.0000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Put Spread,-9.07,88.00000000000001,162.0,88.00000000000001,32.68,65.94,-0.10306818181818181,-34.0,7.000000000000001,-1.0000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Put Spread,-7.97,67.0,133.0,67.0,30.33,68.3,-0.11895522388059701,-26.0,7.000000000000001,-1.0000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Put Spread,-22.75,181.99999999999997,218.00000000000003,181.99999999999997,38.67,59.95,-0.12500000000000003,-59.0,5.000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
