Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_57.5,C_58.0,C_58.5,C_59.0,C_59.5,C_60.0,C_60.5,C_61.0,C_61.5,C_62.0,C_62.5,C_63.0,C_63.5,C_64.0,C_64.5,C_65.0,C_65.5,C_66.0,C_66.5,C_67.0,P_57.5,P_58.0,P_58.5,P_59.0,P_59.5,P_60.0,P_60.5,P_61.0,P_61.5,P_62.0,P_62.5,P_63.0,P_63.5,P_64.0,P_64.5,P_65.0,P_65.5,P_66.0,P_66.5,P_67.0
RTX,Bear Call Spread,-40.23,-110.00000000000001,110.00000000000001,290.0,51.84,47.13,-0.13872413793103447,-28.000000000000004,-1.0000000000000009,0.9999999999999996,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-56.61,-252.0,252.0,398.0,43.35,55.62,-0.1422361809045226,-47.0,0.0,1.0000000000000009,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-59.26,-292.0,292.0,408.0,41.94,57.04,-0.14524509803921568,-45.00000000000001,0.9999999999999996,4.000000000000001,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-46.35,-137.0,137.0,313.0,49.03,49.94,-0.14808306709265176,-30.999999999999993,-1.0000000000000009,0.9999999999999996,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-46.16,-202.0,202.0,298.0,43.35,55.62,-0.15489932885906038,-36.00000000000001,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-20.08,-22.0,22.0,128.0,65.79,33.18,-0.156875,-10.999999999999998,0.0,0.9999999999999996,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-23.85,-1.0,1.0,149.0,79.69,19.29,-0.16006711409395974,-8.000000000000002,-0.9999999999999996,1.0000000000000009,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-84.8,-326.0,326.0,524.0,40.53,58.45,-0.1618320610687023,-48.99999999999999,1.0000000000000002,5.0,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-47.24,-162.0,162.0,288.0,44.77,54.2,-0.16402777777777777,-33.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Bear Call Spread,-58.39,-200.0,200.0,350.0,43.35,55.62,-0.16682857142857144,-38.0,-1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
