,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
69,T,Bull Call Spread,-11.72,280.0,984.5063579144398,280.0,49.52,50.46,-0.04185714285714286,117.99999999999997,18.000000000000004,-3.0,1.9999999999999998,3.0,0.0,3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
29,T,Bull Call Spread,-18.83,435.0,1029.5063579144398,435.0,49.52,50.46,-0.043287356321839075,150.99999999999997,6.999999999999995,-3.0,2.0000000000000004,4.0,4.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
52,T,Bull Call Spread,-15.37,352.0,1727.0127158288797,352.0,49.52,50.46,-0.043664772727272726,151.0,32.999999999999986,-6.0,4.000000000000001,5.0,0.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,T,Bull Call Spread,-11.35,238.00000000000003,876.5063579144398,238.00000000000003,49.52,50.46,-0.04768907563025209,85.99999999999997,12.0,-3.0,1.9999999999999998,0.9999999999999999,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,T,Bull Call Spread,-8.81,183.0,881.5063579144398,183.0,49.52,50.46,-0.048142076502732244,83.0,18.999999999999993,-3.0,2.0000000000000004,0.0,0.0,0.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,T,Bull Call Spread,-14.62,296.0,918.5063579144398,296.0,49.52,50.46,-0.04939189189189189,103.99999999999996,9.999999999999998,-3.0,1.9999999999999998,3.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,T,Bull Call Spread,-15.34,299.0,965.5063579144398,299.0,49.52,50.46,-0.051304347826086956,119.0,14.999999999999991,-3.0,2.0000000000000004,4.0,0.0,4.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
96,T,Bull Call Spread,-13.67,243.0,971.5063579144398,243.0,33.37,66.6,-0.05625514403292181,110.00000000000001,21.999999999999996,-3.0,2.0000000000000004,0.0,0.0,0.0,4.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
47,T,Bull Call Spread,-12.0,194.0,870.5063579144398,194.0,49.52,50.46,-0.061855670103092786,79.99999999999999,16.000000000000004,-3.0,1.9999999999999998,3.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,T,Bull Call Spread,-8.73,139.0,875.5063579144398,139.0,33.37,66.6,-0.06280575539568346,70.0,21.999999999999996,-3.0,2.0000000000000004,0.0,0.0,0.0,0.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0
88,T,Bull Call Spread,-14.04,213.00000000000006,901.5063579144398,213.00000000000006,49.52,50.46,-0.06591549295774646,93.00000000000004,18.999999999999993,-3.0,2.0000000000000004,0.0,0.0,0.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T,Bull Call Spread,-19.22,279.0,885.5063579144398,279.0,49.52,50.46,-0.06888888888888889,94.0,9.999999999999998,-3.0,2.0000000000000004,1.0000000000000002,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,T,Bull Call Spread,-9.36,113.0,87.0,113.0,49.52,50.46,-0.08283185840707964,35.99999999999999,-1.9999999999999991,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
35,T,Bull Call Spread,-18.73,226.0,174.0,226.0,49.52,50.46,-0.08287610619469027,71.99999999999999,-3.9999999999999982,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
24,T,Bull Call Spread,-15.48,186.0,114.0,186.0,49.52,50.46,-0.0832258064516129,53.99999999999999,-6.0,0.0,0.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
