Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-957.97,-1110.0,6500.000000000011,1110.0,5109.99999999929,5390.000000000011,56.9,42.34,0.2059369202226341,0.9480519480518144,Put,89.0,10.0,Put,99.5,-20.0,Put,103.5,10.0,150.0,0.0,60.00000000000001,-19.999999999999996,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1108.19,-1050.0,7500.000000000011,1050.0,6049.999999999275,6450.000000000011,56.66,42.58,0.16279069767441834,0.937984496123917,Put,88.0,10.0,Put,100.5,-20.0,Put,105.5,10.0,179.9999999999999,0.0,70.00000000000001,-30.000000000000004,9.999999999999998
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-798.25,-500.0,3500.0000000000055,500.0,2499.999999999318,3000.0000000000055,56.66,42.58,0.16666666666666635,0.8333333333331044,Put,91.5,10.0,Put,97.0,-20.0,Put,99.0,10.0,80.00000000000007,0.0,20.000000000000064,-9.999999999999998,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-683.21,-900.0,4500.0000000000055,900.0,3899.999999999304,3600.0000000000055,56.42,42.83,0.2499999999999996,1.0833333333331383,Put,91.0,10.0,Put,98.5,-20.0,Put,101.5,10.0,110.00000000000001,0.0,39.99999999999999,-9.999999999999998,10.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-929.51,-1380.0,9000.000000000011,1380.0,7879.999999999247,7620.000000000011,56.18,43.07,0.18110236220472414,1.0341207349080361,Put,87.0,10.0,Put,102.5,-20.0,Put,109.0,10.0,210.00000000000006,0.0,109.99999999999997,-40.0,5.551115123125783e-15
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-973.81,-1279.9999999999995,7500.0000000000055,1279.9999999999995,6279.9999999992615,6220.0000000000055,55.94,43.31,0.20578778135048206,1.0096463022506843,Put,88.5,10.0,Put,101.0,-20.0,Put,106.0,10.0,180.00000000000003,0.0,69.99999999999997,-30.000000000000004,2.7755575615628914e-15
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1084.42,-1200.0,8000.000000000011,1200.0,6699.9999999992615,6800.000000000011,55.94,43.31,0.17647058823529382,0.9852941176469486,Put,88.0,10.0,Put,101.5,-20.0,Put,107.0,10.0,190.00000000000023,0.0,79.99999999999999,-29.999999999999993,5.551115123125783e-15
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1097.54,-1110.0,7000.000000000011,1110.0,5609.999999999275,5890.000000000011,55.7,43.55,0.188455008488964,0.9524617996603166,Put,89.0,10.0,Put,100.5,-20.0,Put,105.0,10.0,169.99999999999994,0.0,69.99999999999997,-29.999999999999993,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1122.36,-1180.0,8500.000000000011,1180.0,7179.9999999992615,7320.000000000011,55.7,43.55,0.1612021857923495,0.9808743169397883,Put,87.5,10.0,Put,102.0,-20.0,Put,108.0,10.0,200.00000000000009,0.0,89.99999999999994,-29.999999999999993,5.551115123125783e-15
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-819.93,-650.0,4000.0000000000055,650.0,3149.999999999318,3350.0000000000055,55.7,43.55,0.19402985074626833,0.9402985074624814,Put,91.5,10.0,Put,98.0,-20.0,Put,100.5,10.0,100.0,0.0,39.99999999999999,-9.999999999999998,10.000000000000004
