,C_100.0,C_1000000.0,C_101.0,C_34.0,C_35.0,C_35.5,C_36.0,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_100.0,P_101.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
95,,0.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
96,,0.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
97,,0.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
98,,0.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
99,,0.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
120,,-1.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
121,,-2.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
122,,-3.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
123,,-4.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
124,,-5.0,,0.0,0.0,4.0,0.0,,,,,,,,,380.0,0.21823684210526317,82.93,380.0,5372.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,164.0,52.0,0.0,-20.0,12.0,TAP
100,,0.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
101,,0.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
102,,0.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
103,,0.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
104,,0.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
125,,-1.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
126,,-2.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
127,,-3.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
128,,-4.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
129,,-5.0,,0.0,0.0,5.0,0.0,,,,,,,,,475.0,0.21823157894736842,103.66,475.0,6715.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,204.99999999999997,65.0,0.0,-25.0,15.0,TAP
90,,0.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
91,,0.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
92,,0.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
93,,0.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
94,,0.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
115,,-1.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
116,,-2.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
117,,-3.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
118,,-4.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
119,,-5.0,,0.0,0.0,3.0,0.0,,,,,,,,,284.99999999999994,0.21821052631578952,62.19,284.99999999999994,4029.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,123.0,39.0,0.0,-15.000000000000002,9.0,TAP
