,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0
13,NKE,Long Call Butterfly,3.1,260.0,2465.5355018691744,260.0,33.49,66.49,0.011923076923076923,49.99999999999998,4.999999999999999,-8.999999999999996,7.000000000000001,2.0000000000000004,0.0,0.0,2.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NKE,Long Call Butterfly,2.69,236.0,2339.5355018691744,236.0,49.66,50.32,0.011398305084745762,38.0,4.999999999999999,-6.999999999999998,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NKE,Long Call Butterfly,2.01,213.0,2412.5355018691744,213.0,33.49,66.49,0.009436619718309858,40.0,7.000000000000001,-8.999999999999996,7.000000000000001,3.469446951953614e-16,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,NKE,Long Call Butterfly,2.63,282.0,2343.5355018691744,282.0,49.66,50.32,0.009326241134751773,41.000000000000014,3.9999999999999982,-6.000000000000005,7.000000000000001,3.9999999999999996,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NKE,Long Call Butterfly,2.49,424.99999999999994,2600.5355018691744,424.99999999999994,49.66,50.32,0.005858823529411766,67.0,4.999999999999999,-8.999999999999996,7.000000000000001,3.0000000000000004,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NKE,Long Call Butterfly,2.07,359.0,2516.5355018691744,359.0,49.66,50.32,0.005766016713091922,59.00000000000002,4.999999999999999,-6.999999999999998,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,NKE,Long Call Butterfly,1.51,288.0,2487.5355018691744,288.0,33.49,66.49,0.0052430555555555555,51.99999999999999,7.000000000000001,-8.999999999999996,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NKE,Long Call Butterfly,1.59,304.0,2471.5355018691744,304.0,33.49,66.49,0.005230263157894737,50.00000000000002,8.000000000000002,-8.999999999999996,7.000000000000001,2.0000000000000004,0.0,2.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NKE,Long Call Butterfly,0.77,312.0,2513.5355018691744,312.0,33.49,66.49,0.002467948717948718,55.999999999999986,4.999999999999999,-8.999999999999996,7.000000000000001,2.0000000000000004,0.0,0.0,2.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,NKE,Long Call Butterfly,0.18,361.9999999999999,2513.5355018691744,361.9999999999999,33.49,66.49,0.0004972375690607736,54.0,8.000000000000002,-8.999999999999996,4.999999999999999,2.0000000000000004,2.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
