,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0
179,SWK,Bear Call Ladder,52.62,210.0,5323.945627935992,510.0,19.72,80.23,0.10317647058823529,24.000000000000004,3.0,-17.0,11.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,SWK,Bear Call Ladder,52.62,210.00000000000006,5323.945627935992,510.00000000000006,19.72,80.23,0.10317647058823527,24.0,3.0,-16.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,SWK,Bear Call Ladder,41.92,280.0,5353.945627935992,411.0497698913679,19.72,80.23,0.1019827842528135,27.0,3.0,-16.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,SWK,Bear Call Ladder,55.31,150.0,5283.945627935992,550.0,19.72,80.23,0.10056363636363637,21.000000000000004,3.0,-17.0,11.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,SWK,Bear Call Ladder,53.12,360.00000000000006,5573.945627935992,528.9502301086322,32.4,67.56,0.1004253273301168,36.00000000000001,3.0,-19.0,11.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,SWK,Bear Call Ladder,56.22,40.0,5093.945627935992,571.0497698913679,19.72,80.23,0.09845026294414734,12.000000000000005,3.0,-15.0,10.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,SWK,Bear Call Ladder,55.81,300.00000000000006,5533.945627935992,568.9502301086322,32.4,67.56,0.09809293862020926,33.0,3.0,-19.0,11.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,SWK,Bear Call Ladder,58.63,70.0,5163.945627935992,601.0497698913679,19.72,80.23,0.09754599857944647,15.000000000000007,3.0,-15.0,10.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,SWK,Bear Call Ladder,56.71,190.00000000000006,5343.945627935992,590.0,19.72,80.23,0.0961186440677966,24.000000000000004,3.0,-17.0,10.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,SWK,Bear Call Ladder,68.09,-89.99999999999983,5123.945627935992,710.0000000000002,54.41,45.54,0.0959014084507042,9.999999999999998,3.0,-17.0,11.000000000000002,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,SWK,Bear Call Ladder,41.18,200.0,5233.945627935992,431.0497698913679,19.72,80.23,0.09553421176950885,21.000000000000004,3.0,-15.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
