,C_1000000.0,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_34.0,C_35.0,C_35.5,C_36.0,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
31,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,840.0,0.02335489576560982,19.8,847.7879841003437,9452.099057327148,Bull Put Ladder,,,,,,,,,,,,,,5.0,4.0,-2.0,0.0,0.0,0.0,65.37,34.58,-290.00000000000006,79.0,-6.999999999999999,-35.0,21.000000000000004,TAP
69,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,385.0000000000001,0.02333187328362045,13.74,588.893992050172,5389.056604186942,Bull Put Ladder,,,,,,,,,,,,,,2.0,3.0,0.0,0.0,0.0,-1.0,65.37,34.58,-166.00000000000003,51.0,-4.0,-19.0,13.0,TAP
272,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1600.0,0.02331959622126441,38.33,1643.6819761505162,12654.12735942062,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,0.0,5.0,0.0,-1.0,65.37,34.58,-510.00000000000006,107.99999999999999,-9.000000000000002,-44.0,23.0,TAP
229,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,585.0,0.02316795089667088,22.64,977.2120158996563,6895.070755233676,Bull Put Ladder,,,,,,,,,,,,,,0.0,3.0,4.0,0.0,0.0,-2.0,65.37,34.58,-252.0,70.0,-5.0,-23.000000000000004,17.0,TAP
35,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,380.0000000000001,0.02277053884363893,9.88,433.89399205017196,4088.042453140206,Bull Put Ladder,,,,,,,,,,,,,,1.0,3.0,0.0,-1.0,0.0,0.0,65.37,34.58,-131.99999999999997,36.0,-3.0,-15.000000000000002,10.0,TAP
125,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,350.0,0.02261108134916154,12.26,542.2120158996563,4118.042453140206,Bull Put Ladder,,,,,,,,,,,,,,1.0,0.0,3.0,0.0,0.0,-1.0,65.37,34.58,-147.0,40.0,-3.0,-14.000000000000002,10.0,TAP
154,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,850.0,0.022522485712757407,27.89,1238.3180238494845,10848.113208373885,Bull Put Ladder,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,0.0,-2.0,65.37,34.58,-354.99999999999994,100.99999999999997,-8.0,-38.0,26.0,TAP
141,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,500.0,0.02245347665657058,15.63,696.1060079498282,6730.070755233677,Bull Put Ladder,,,,,,,,,,,,,,4.0,0.0,2.0,0.0,0.0,-1.0,65.37,34.58,-208.0,60.999999999999986,-5.0,-24.000000000000004,16.0,TAP
10,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,665.0,0.022369602840224555,15.05,672.7879841003437,6815.070755233677,Bull Put Ladder,,,,,,,,,,,,,,2.0,5.0,-2.0,0.0,0.0,0.0,65.37,34.58,-222.00000000000006,57.99999999999999,-5.0,-24.999999999999996,15.0,TAP
237,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,560.0,0.022225568946655023,21.25,956.1060079498282,6870.070755233676,Bull Put Ladder,,,,,,,,,,,,,,0.0,4.0,3.0,0.0,0.0,-2.0,65.37,34.58,-245.00000000000003,70.0,-5.0,-23.000000000000004,17.0,TAP
263,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,770.0,0.022214370785330628,19.24,866.1060079498282,6960.070755233677,Bull Put Ladder,,,,,,,,,,,,,,0.0,4.0,0.0,2.0,0.0,-1.0,65.37,34.58,-266.0,62.999999999999986,-5.0,-24.000000000000004,14.000000000000002,TAP
26,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,540.0,0.021750562008246516,11.83,543.8939920501718,6690.070755233677,Bull Put Ladder,,,,,,,,,,,,,,5.0,1.0,-1.0,0.0,0.0,0.0,65.37,34.58,-193.00000000000003,55.00000000000001,-5.0,-25.0,15.0,TAP
103,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,495.0,0.021733264512358543,11.76,541.1060079498282,5429.056604186942,Bull Put Ladder,,,,,,,,,,,,,,3.0,0.0,2.0,-1.0,0.0,0.0,65.37,34.58,-173.99999999999997,46.00000000000001,-4.0,-20.0,13.0,TAP
