,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
7,TAP,Long Straddle,75.21,705.0,3963.042453140206,612.7879841003437,54.36,45.6,0.12273412983190023,-60.0,60.0,-25.0,15.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
4,TAP,Long Straddle,86.63,1315.0,6625.070755233674,1258.5759682006847,52.18,47.78,0.06883176080650105,140.0,104.0,-45.0,27.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3,TAP,Long Straddle,73.82,1140.0,5212.056604186939,1083.5759682006847,52.18,47.78,0.06812628017450466,80.0,92.0,-40.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1,TAP,Long Straddle,36.91,570.0,2606.0283020934694,541.7879841003423,52.18,47.78,0.06812628017450466,40.0,46.0,-20.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
5,TAP,Long Straddle,92.27,1425.0,6515.070755233674,1354.4699602508558,52.18,47.78,0.06812258869359572,100.0,115.0,-50.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2,TAP,Long Straddle,55.36,855.0,3909.042453140204,812.6819761505135,52.18,47.78,0.0681201277063231,59.99999999999996,69.0,-30.000000000000004,18.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0,TAP,Long Straddle,18.45,285.0,1303.0141510467347,270.89399205017116,52.18,47.78,0.06810782276995996,20.0,23.0,-10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,TAP,Long Strangle,123.84,960.0,6480.070755233674,721.6819761505155,52.18,47.78,0.17159913104740152,122.0,84.0,-35.0,21.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
11,TAP,Long Strangle,32.91,300.0,1306.0141510467354,250.0,54.36,45.6,0.13163999999999998,-11.0,24.0,-10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,TAP,Long Strangle,131.63,1200.0,5224.0566041869415,1000.0,54.36,45.6,0.13163,-44.0,96.0,-40.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
13,TAP,Long Strangle,98.72,900.0,3918.042453140206,750.0,54.36,45.6,0.13162666666666667,-33.0,72.0,-30.000000000000004,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
18,TAP,Long Strangle,164.53,1500.0,6530.070755233677,1250.0,54.36,45.6,0.131624,-55.0,120.0,-50.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
12,TAP,Long Strangle,65.81,600.0,2612.0283020934708,500.0,54.36,45.6,0.13162000000000001,-22.0,48.0,-20.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
16,TAP,Long Strangle,145.19,1380.0,6650.070755233677,1176.1060079498282,54.36,45.6,0.12344975624526672,-103.0,108.0,-45.0,27.0,-1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
14,TAP,Long Strangle,112.28,1080.0,5344.0566041869415,926.1060079498282,54.36,45.6,0.12123882043326813,-92.0,84.0,-35.0,21.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
