,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,P_-1000000.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5
40,WDC,Short Put Condor,84.66,-145.0,7991.043513614717,1105.0,51.67,48.26,0.07661538461538461,-22.00000000000002,37.0,-28.000000000000007,12.000000000000002,-3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.0,0.0
186,WDC,Short Put Condor,41.21,-13.0,4111.021756807356,540.5778022732984,51.67,48.26,0.07623324492182085,-25.0,22.999999999999986,-14.000000000000002,6.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,-5.0,0.0
52,WDC,Short Put Condor,89.19,-320.0,7916.043513614717,1180.0,51.67,48.26,0.07558474576271186,2.9999999999999805,37.0,-33.000000000000014,12.000000000000002,-3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0
160,WDC,Short Put Condor,45.8,-90.0,4038.0217568073585,613.5778022732984,51.67,48.26,0.07464416057802539,-12.00000000000001,22.000000000000004,-14.000000000000002,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,-4.0,0.0
158,WDC,Short Put Condor,22.9,-45.0,2019.0108784036793,306.7889011366492,51.67,48.26,0.07464416057802539,-6.000000000000005,11.000000000000002,-7.000000000000001,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-2.0,0.0
104,WDC,Short Put Condor,87.29,-77.0,8123.043513614717,1173.0,51.67,48.26,0.07441602728047741,-33.999999999999986,37.0,-28.000000000000007,12.000000000000002,-3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,-5.0,0.0
191,WDC,Short Put Condor,45.73,-188.0,4036.021756807356,615.5778022732984,51.67,48.26,0.07428792888749622,0.0,22.999999999999986,-19.000000000000007,6.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,-5.0
114,WDC,Short Put Condor,91.81,-252.0,8048.043513614717,1248.0,51.67,48.26,0.07356570512820514,-8.999999999999986,37.0,-33.000000000000014,12.000000000000002,-3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0
167,WDC,Short Put Condor,49.42,-230.0,3978.0217568073585,673.5778022732984,51.67,48.26,0.07336940117861583,8.000000000000007,22.000000000000004,-18.000000000000004,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,-4.0
163,WDC,Short Put Condor,24.71,-115.0,1989.0108784036793,336.7889011366492,51.67,48.26,0.07336940117861583,4.0000000000000036,11.000000000000002,-9.000000000000002,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,-2.0
177,WDC,Short Put Condor,42.32,-118.0,4066.0217568073585,585.5778022732984,51.67,48.26,0.07227049904505872,-7.999999999999963,22.000000000000004,-18.000000000000004,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,-4.0
174,WDC,Short Put Condor,21.16,-59.0,2033.0108784036793,292.7889011366492,51.67,48.26,0.07227049904505872,-3.9999999999999813,11.000000000000002,-9.000000000000002,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,-2.0
58,WDC,Short Put Condor,44.66,-176.0,3924.0217568073585,624.0,67.4,32.53,0.07157051282051281,2.0000000000000018,20.0,-14.000000000000002,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0
55,WDC,Short Put Condor,22.33,-88.0,1962.0108784036793,312.0,67.4,32.53,0.07157051282051281,1.0000000000000009,10.0,-7.000000000000001,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0
194,WDC,Short Put Condor,20.02,-71.99999999999977,2046.010878403679,279.78890113664943,51.67,48.26,0.07155394627402391,-6.000000000000005,12.0,-10.000000000000004,3.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,-3.0
197,WDC,Short Put Condor,18.25,-43.99999999999977,2068.0108784036793,257.78890113664943,67.08,32.85,0.07079435894847153,-10.000000000000009,12.0,-10.000000000000004,3.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,-3.0
69,WDC,Short Put Condor,48.28,-316.0,3864.0217568073585,684.0,51.67,48.26,0.07058479532163743,22.00000000000002,20.0,-18.000000000000004,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-4.0
64,WDC,Short Put Condor,24.14,-158.0,1932.0108784036793,342.0,51.67,48.26,0.07058479532163743,11.00000000000001,10.0,-9.000000000000002,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0
77,WDC,Short Put Condor,18.78,-32.0,2006.0108784036793,268.0,51.67,48.26,0.07007462686567165,-7.000000000000006,10.0,-7.000000000000001,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,0.0
79,WDC,Short Put Condor,37.55,-64.0,4012.0217568073585,536.0,51.67,48.26,0.07005597014925373,-14.000000000000012,20.0,-14.000000000000002,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,-4.0,0.0
14,WDC,Short Put Condor,85.08,-275.0,7871.043513614717,1216.055494316754,67.4,32.53,0.0699639123359272,-2.0000000000000018,31.999999999999996,-28.000000000000007,12.000000000000002,-3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0
119,WDC,Short Put Condor,45.97,-142.0,3990.0217568073585,658.0,51.67,48.26,0.06986322188449848,-4.0000000000000036,20.0,-14.000000000000002,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0
116,WDC,Short Put Condor,22.98,-71.0,1995.0108784036793,329.0,51.67,48.26,0.06984802431610942,-2.0000000000000018,10.0,-7.000000000000001,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0
28,WDC,Short Put Condor,89.61,-450.0,7796.043513614717,1291.055494316754,67.4,32.53,0.06940832550921675,23.0,31.999999999999996,-33.000000000000014,12.000000000000002,-3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
82,WDC,Short Put Condor,20.59,-102.0,1976.0108784036793,298.0,51.67,48.26,0.06909395973154363,3.0000000000000027,10.0,-9.000000000000002,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0
85,WDC,Short Put Condor,41.17,-204.0,3952.0217568073585,596.0,51.67,48.26,0.0690771812080537,6.000000000000005,20.0,-18.000000000000004,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-4.0
